parkCode,parkName,county,state,GEOID,year,month,temp,tmax,tmin,pdsi,precip
acad,Acadia National Park,Hancock,ME,23009,1991,7,78.1,90.4,65.8,-1.49,3.92
acad,Acadia National Park,Hancock,ME,23009,1991,8,76.8,89.6,63.9,-1.71,2.68
acad,Acadia National Park,Hancock,ME,23009,1991,9,67.6,78.6,56.6,-1.6,4.31
acad,Acadia National Park,Hancock,ME,23009,1991,10,59.6,71.8,47.3,-0.01,4.27
acad,Acadia National Park,Hancock,ME,23009,1991,11,42.3,51.8,32.8,0.48,5.29
acad,Acadia National Park,Hancock,ME,23009,1991,12,40.5,49.2,31.8,0.82,3.78
acad,Acadia National Park,Hancock,ME,23009,1992,1,38.2,48.0,28.4,-0.39,0.91
acad,Acadia National Park,Hancock,ME,23009,1992,2,44.6,55.6,33.5,-0.54,2.27
acad,Acadia National Park,Hancock,ME,23009,1992,3,48.7,60.8,36.7,-1.13,1.72
acad,Acadia National Park,Hancock,ME,23009,1992,4,57.1,69.4,44.7,-1.54,2.68
acad,Acadia National Park,Hancock,ME,23009,1992,5,62.2,73.0,51.4,-1.46,4.63
acad,Acadia National Park,Hancock,ME,23009,1992,6,69.8,79.4,60.3,0.46,6.08
acad,Acadia National Park,Hancock,ME,23009,1992,7,76.3,86.0,66.6,1.53,6.77
acad,Acadia National Park,Hancock,ME,23009,1992,8,69.3,80.4,58.3,1.51,2.34
acad,Acadia National Park,Hancock,ME,23009,1992,9,66.6,78.0,55.1,2.82,8.72
acad,Acadia National Park,Hancock,ME,23009,1992,10,57.8,70.8,44.8,2.12,1.13
acad,Acadia National Park,Hancock,ME,23009,1992,11,44.4,52.1,36.5,3.23,7.98
acad,Acadia National Park,Hancock,ME,23009,1992,12,37.2,46.7,27.5,3.59,4.56
acad,Acadia National Park,Hancock,ME,23009,1993,1,33.6,43.2,23.9,3.62,3.11
acad,Acadia National Park,Hancock,ME,23009,1993,2,34.5,44.6,24.5,3.24,2.23
acad,Acadia National Park,Hancock,ME,23009,1993,3,43.4,53.5,33.2,2.75,2.89
acad,Acadia National Park,Hancock,ME,23009,1993,4,52.1,62.5,41.6,2.6,4.24
acad,Acadia National Park,Hancock,ME,23009,1993,5,62.6,73.0,52.3,2.55,5.93
acad,Acadia National Park,Hancock,ME,23009,1993,6,72.0,81.6,62.3,3.54,9.47
acad,Acadia National Park,Hancock,ME,23009,1993,7,78.8,88.4,69.3,4.0,6.0
acad,Acadia National Park,Hancock,ME,23009,1993,8,78.1,88.7,67.5,3.79,3.25
acad,Acadia National Park,Hancock,ME,23009,1993,9,65.0,76.2,53.8,5.75,12.44
acad,Acadia National Park,Hancock,ME,23009,1993,10,53.7,65.2,42.2,5.52,3.78
acad,Acadia National Park,Hancock,ME,23009,1993,11,41.3,52.1,30.4,5.61,5.01
acad,Acadia National Park,Hancock,ME,23009,1993,12,38.3,48.8,27.8,4.9,1.97
acad,Acadia National Park,Hancock,ME,23009,1994,1,30.9,40.0,21.9,4.16,1.17
acad,Acadia National Park,Hancock,ME,23009,1994,2,36.5,48.0,24.9,3.68,2.17
acad,Acadia National Park,Hancock,ME,23009,1994,3,47.9,60.4,35.3,3.64,5.01
acad,Acadia National Park,Hancock,ME,23009,1994,4,57.2,69.6,44.9,4.58,8.65
acad,Acadia National Park,Hancock,ME,23009,1994,5,62.4,74.3,50.4,3.28,1.38
acad,Acadia National Park,Hancock,ME,23009,1994,6,76.0,87.2,64.9,2.3,3.12
acad,Acadia National Park,Hancock,ME,23009,1994,7,75.6,87.2,64.0,2.21,4.44
acad,Acadia National Park,Hancock,ME,23009,1994,8,73.7,85.4,62.1,2.21,4.29
acad,Acadia National Park,Hancock,ME,23009,1994,9,66.5,78.1,54.8,1.48,1.97
acad,Acadia National Park,Hancock,ME,23009,1994,10,59.5,70.5,48.5,1.23,3.91
